MATRICULA,COORD. X,COORD. Y
160202,-2.5297345900000000,-44.2805134900000000
10986707,-2.6001997900000000,-44.1995176000000000
3292681,0,0
3291715,0,0
12720810,-2.6017758900000000,-44.2005409000000000
3658236,-2.6013630900000000,-44.1992285900000000
1042866,-2.5422364000000000,-44.2064139000000000
14841703,0,0
686328,-2.5472958900000000,-44.2208242900000000
2332108,-2.5326225900000000,-44.2021099900000000
274992,-2.5501592900000000,-44.2806098000000000
354236,-2.5475349900000000,-44.2729290900000000
326186,-2.5435900900000000,-44.2733334900000000
1838385,-2.5324403000000000,-44.2021274000000000
75043,-2.5393881900000000,-44.2971452900000000
89982,-2.5437941900000000,-44.2976121000000000
3115,-2.5313210000000000,-44.3054442900000000
2971933,-2.5418770900000000,-44.2095350000000000
14751720,0,0
44547,-2.5352869000000000,-44.2979875900000000
59609,-2.5300345000000000,-44.2907312900000000
69531,-2.5110532900000000,-44.2641410000000000
10128514,0,0
10131973,0,0
10116168,0,0
10155112,0,0
10138579,0,0
3700623,0,0
10116427,0,0
10121722,0,0
3700461,0,0
3639622,0,0
10132813,0,0
10121854,0,0
10133968,0,0
10133674,0,0
10133755,0,0
10133798,0,0
10121900,0,0
10137122,0,0
10137343,0,0
10137017,0,0
10137106,0,0
402095,-2.5305056900000000,-44.2463851900000000
1462130,-2.5250514000000000,-44.2490431000000000
1460471,-2.5238200000000000,-44.2484050900000000
398250,-2.5264695000000000,-44.2495641000000000
17108,-2.5270974900000000,-44.3008596900000000
11975,-2.5251437900000000,-44.3022272900000000
77070,-2.5370713900000000,-44.2961193000000000
555096,-2.5418085900000000,-44.2564952900000000
9294228,0,0
1267035,-2.5841210000000000,-44.1953857900000000
1266640,-2.5823914000000000,-44.1949607900000000
213594,-2.5376118900000000,-44.2804277900000000
